S10.G01.00.001.001,'000000001'
S10.G01.00.001.002,'00001'
S10.G01.00.002,'Raison sociale'
S10.G01.00.003.006,'182 rue de Paris'
S10.G01.00.003.007,'75019'
S10.G01.00.003.009,'Paris'
S10.G01.00.003.010,'75019'
S10.G01.00.003.012,'Localité'
S10.G01.00.004,'7030185018'
S10.G01.00.005,'Logiciel'
S10.G01.00.006,'Editeur'
S10.G01.00.008,'407C1DBA91'
S10.G01.00.009,'40'
S10.G01.00.010,'02'
S10.G01.00.011,'V01X13'
S10.G01.00.012,'01'
S10.G01.00.003.001,'Localité'
S10.G01.01.001.001,'01'
S10.G01.01.001.002,'HORN Luca'
S10.G01.01.002,'03'
S10.G01.01.005,'mel@mel.mel'
S10.G01.01.006,'0600000000'
S10.G01.01.007,'0600000000'
S10.G01.05.013.001,'000000002'
S10.G01.05.013.002,'00002'
S10.G01.05.015.001,'mel@mel.mel'
S20.G01.00.001,'000000003'
S20.G01.00.002,'Raison sociale'
S20.G01.00.003.001,'01012016'
S20.G01.00.003.002,'31122016'
S20.G01.00.004.001,'01'
S20.G01.00.004.002,'51'
S20.G01.00.005,'11'
S20.G01.00.007,'01'
S20.G01.00.008,'00003'
S20.G01.00.009.006,'153 rue de Paris'
S20.G01.00.009.007,'75016'
S20.G01.00.009.009,'Service distribution'
S20.G01.00.009.010,'75016'
S20.G01.00.009.012,'Localité'
S20.G01.00.013.002,'7030185018'
S20.G01.00.018,'A00'
S30.G01.00.001,'0000000000001'
S30.G01.00.002,'GROß'
S30.G01.00.003,'Jan'
S30.G01.00.008.001,'Paris'
S30.G01.00.007,'01'
S30.G01.00.008.006,'125 rue de Paris'
S30.G01.00.008.007,'75013'
S30.G01.00.008.010,'75013'
S30.G01.00.008.012,'Localité'
S30.G01.00.009,'07031997'
S30.G01.00.010,'Localité'
S30.G01.00.011,'75'
S30.G01.00.012,'France'
S30.G01.00.013,'France'
S30.G01.00.019,'0000001'
S40.G01.00.001,'01012016'
S40.G01.00.002.001,'901'
S40.G01.00.003,'31122016'
S40.G01.00.004.001,'008'
S40.G01.00.005,'00010'
S40.G10.00.005,'10'
S40.G10.00.008.001,'01'
S40.G10.00.008.002,'01'
S40.G10.00.009.001,'01'
S40.G10.00.009.002,'16'
S40.G10.00.010,'Conseiller Entreprise II'
S40.G10.05.011.001,'375b'
S40.G10.05.012.001,'01'
S40.G10.05.012.002,'02'
S40.G10.05.012.003,'90'
S40.G10.05.013.004,'90'
S40.G10.05.015.001,'04'
S40.G10.05.015.002,'01'
S40.G10.05.016,'5018'
S40.G10.05.017,'NIVEAU 6    COEFFICIENT 430  INDICE      POSITION'
S40.G15.00.001,'90'
S40.G15.00.003,'0.00'
S40.G15.05.013.001,'10'
S40.G15.05.025.001,'90'
S40.G15.05.025.003,'211.00'
S40.G20.00.018.002,'200'
S40.G20.00.018.003,'200'
S40.G20.00.018.004,'200'
S40.G25.00.025,'01'
S40.G25.00.026,'913EH'
S40.G25.00.028,'1.50'
S40.G25.00.029,'1692.59'
S40.G28.05.029.001,'33885.00'
S40.G28.05.029.003,'01'
S40.G28.05.029.004,'0'
S40.G28.05.030.001,'33885.00'
S40.G30.04.001,'33702.00'
S40.G30.04.002,'0.00'
S40.G30.15.001,'01'
S40.G30.15.002.001,'776.00'
S40.G30.15.001,'06'
S40.G30.15.002.001,'508.00'
S40.G40.00.035.001,'34294.00'
S40.G40.00.055.001,'34294.00'
S40.G40.00.056.001,'7688.00'
S40.G40.00.057.001,'18893.00'
S40.G40.00.058.001,'3373.00'
S40.G40.00.063.001,'26868.00'
S44.G03.00.001,'90'
S44.G03.05.001,'G081'
S44.G03.05.002,'221-501'
S45.G01.00.001.001,'04022013'
S45.G01.00.002,'02'
S45.G01.00.006,'00'
S45.G01.05.001.001,'01'
S45.G01.05.001.002,'01'
S45.G01.05.002,'1426'
S45.G05.00.001,'M1/A80246-0001-P'
S45.G05.00.002,'0001'
S45.G05.00.003,'0001'
S45.G05.00.005,'P0012'
S45.G05.10.001,'01012016'
S45.G05.10.002,'31122016'
S45.G05.15.001.001,'33884.52'
S45.G05.15.002.001,'33884.52'
S45.G05.15.003.001,'33884.52'
S45.G05.15.004.001,'0.00'
S45.G05.15.005.001,'0.00'
S45.G05.15.006.001,'0.00'
S45.G05.15.007.001,'0.00'
S45.G05.15.008.001,'0.00'
S45.G05.15.009.001,'508.26'
S48.G10.00.015,'03'
S48.G10.00.016,'90'
S48.G10.00.017,'02'
S48.G10.00.018,'0.00'
S60.G05.00.001,'100'
S60.G05.00.002,'13062016'
S60.G05.00.003,'13062016'
S60.G05.15.001.001,'03'
S60.G05.15.001.002,'01'
S60.G05.15.001.003,'1.00'
S70.G05.00.001,'00021'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000004'
